Row,Code,Industry Description,
149,335999,All other miscellaneous electrical equipment and component manufacturing,
150,336111,Automobile manufacturing,
151,336112,Light truck and utility vehicle manufacturing,
152,336120,Heavy duty truck manufacturing,
153,336211,Motor vehicle body manufacturing,
154,336212,Truck trailer manufacturing,
155,336213,Motor home manufacturing,
156,336214,Travel trailer and camper manufacturing,
157,336310,Motor vehicle gasoline engine and engine parts manufacturing,
158,336320,Motor vehicle electrical and electronic equipment manufacturing,
159,3363,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",
160,336350,Motor vehicle transmission and power train parts manufacturing,
161,336360,Motor vehicle seating and interior trim manufacturing,
162,336370,Motor vehicle metal stamping,
163,336390,Other motor vehicle parts manufacturing,
164,336411,Aircraft manufacturing,
165,336412,Aircraft engine and engine parts manufacturing,
166,336413,Other aircraft parts and auxiliary equipment manufacturing,
167,336414,Guided missile and space vehicle manufacturing,
168,33641,Propulsion units and parts for space vehicles and guided missiles,
169,336500,Railroad rolling stock manufacturing,
170,336611,Ship building and repairing,
171,336612,Boat building,
172,336991,"Motorcycle, bicycle, and parts manufacturing",
173,336992,"Military armored vehicle, tank, and tank component manufacturing",
174,336999,All other transportation equipment manufacturing,
175,337110,Wood kitchen cabinet and countertop manufacturing,
176,337121,Upholstered household furniture manufacturing,
177,337122,Nonupholstered wood household furniture manufacturing,
178,33712,Other household nonupholstered furniture,
179,337127,Institutional furniture manufacturing,
180,33721,Office furniture and custom architectural woodwork and millwork manufacturing,
181,337215,"Showcase, partition, shelving, and locker manufacturing",
182,337900,Other furniture related product manufacturing,
183,339112,Surgical and medical instrument manufacturing,
184,339113,Surgical appliance and supplies manufacturing,
185,339114,Dental equipment and supplies manufacturing,
186,339115,Ophthalmic goods manufacturing,
187,339116,Dental laboratories,
188,339910,Jewelry and silverware manufacturing,
189,339920,Sporting and athletic goods manufacturing,
190,339930,"Doll, toy, and game manufacturing",
191,339940,Office supplies (except paper) manufacturing,
192,339950,Sign manufacturing,
193,339990,All other miscellaneous manufacturing,
194,311111,Dog and cat food manufacturing,
195,311119,Other animal food manufacturing,
196,311210,Flour milling and malt manufacturing,
197,311221,Wet corn milling,
198,31122,Soybean and other oilseed processing,
199,311225,Fats and oils refining and blending,
200,311230,Breakfast cereal manufacturing,
201,311300,Sugar and confectionery product manufacturing,
202,311410,Frozen food manufacturing,
203,311420,"Fruit and vegetable canning, pickling, and drying",
204,31151,Fluid milk and butter manufacturing,
205,311513,Cheese manufacturing,
206,311514,"Dry, condensed, and evaporated dairy product manufacturing",
207,311520,Ice cream and frozen dessert manufacturing,
208,31161,"Animal (except poultry) slaughtering, rendering, and processing",
209,311615,Poultry processing,
210,311700,Seafood product preparation and packaging,
211,311810,Bread and bakery product manufacturing,
212,3118,"Cookie, cracker, pasta, and tortilla manufacturing",
213,311910,Snack food manufacturing,
214,311920,Coffee and tea manufacturing,
215,311930,Flavoring syrup and concentrate manufacturing,
216,311940,Seasoning and dressing manufacturing,
217,311990,All other food manufacturing,
218,312110,Soft drink and ice manufacturing,
219,312120,Breweries,
220,312130,Wineries,
221,312140,Distilleries,
222,312200,Tobacco product manufacturing,
223,313100,"Fiber, yarn, and thread mills",
224,313200,Fabric mills,
225,313300,Textile and fabric finishing and fabric coating mills,
226,314110,Carpet and rug mills,
227,314120,Curtain and linen mills,
228,314900,Other textile product mills,
229,315000,Apparel manufacturing,
230,316000,Leather and allied product manufacturing,
231,322110,Pulp mills,
232,322120,Paper mills,
233,322130,Paperboard mills,
234,322210,Paperboard container manufacturing,
235,322220,Paper bag and coated and treated paper manufacturing,
236,322230,Stationery product manufacturing,
237,322291,Sanitary paper product manufacturing,
238,322299,All other converted paper product manufacturing,
239,323110,Printing,
240,323120,Support activities for printing,
241,324110,Petroleum refineries,
242,324121,Asphalt paving mixture and block manufacturing,
243,324122,Asphalt shingle and coating materials manufacturing,
244,324190,Other petroleum and coal products manufacturing,
245,325110,Petrochemical manufacturing,
246,325120,Industrial gas manufacturing,
247,325130,Synthetic dye and pigment manufacturing,
248,325180,Other basic inorganic chemical manufacturing,
249,325190,Other basic organic chemical manufacturing,
250,325211,Plastics material and resin manufacturing,
251,3252,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,
252,325310,Fertilizer manufacturing,
253,325320,Pesticide and other agricultural chemical manufacturing,
254,325411,Medicinal and botanical manufacturing,
255,325412,Pharmaceutical preparation manufacturing,
256,325413,In-vitro diagnostic substance manufacturing,
257,325414,Biological product (except diagnostic) manufacturing,
258,325510,Paint and coating manufacturing,
259,325520,Adhesive manufacturing,
260,325610,Soap and cleaning compound manufacturing,
261,325620,Toilet preparation manufacturing,
262,325910,Printing ink manufacturing,
263,3259,All other chemical product and preparation manufacturing,
264,326110,Plastics packaging materials and unlaminated film and sheet manufacturing,
265,326120,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",
266,326130,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",
267,326140,Polystyrene foam product manufacturing,
268,326150,Urethane and other foam product (except polystyrene) manufacturing,
269,326160,Plastics bottle manufacturing,
270,326190,Other plastics product manufacturing,
271,326210,Tire manufacturing,
272,326220,Rubber and plastics hoses and belting manufacturing,
273,326290,Other rubber product manufacturing,
274,420000,Wholesale trade,
275,441000,Motor vehicle and parts dealers,
276,445000,Food and beverage stores,
277,452000,General merchandise stores,
278,4,Other retail,
279,481000,Air transportation,
280,482000,Rail transportation,
281,483000,Water transportation,
282,484000,Truck transportation,
283,485000,Transit and ground passenger transportation,
284,486000,Pipeline transportation,
285,48,Scenic and sightseeing transportation and support activities for transportation,
